description,category,label
officers noticed object out of place,0,Trace Evidence
investigators found explosive residue on suspects jacket,2,Weaponry
evidence suggests financial records tampered,3,Digital Evidence
forensics confirmed forged signature on the victims will,3,Digital Evidence
blood at scene,1,Biological Evidence
blood at scene,1,Biological Evidence
evidence suggests cigarette butt near the entrance,0,Trace Evidence
detective uncovered clues found near the entrance,0,Trace Evidence
officers noticed trail of footsteps,0,Trace Evidence
forensics confirmed secret compartment found with stolen documents,3,Digital Evidence
officers noticed fraud was committed,3,Digital Evidence
lab results revealed embezzled funds and money fraud,3,Digital Evidence
detective uncovered trail of footsteps,0,Trace Evidence
investigators found traces of poison,1,Biological Evidence
officers noticed unlocked back door,0,Trace Evidence
forensics confirmed displaced rug near the fireplace,0,Trace Evidence
poison used,1,Biological Evidence
lab results revealed wet umbrella near the coat rack,0,Trace Evidence
suspects fingerprints on the murder weapon,2,Weaponry
victim was shot,2,Weaponry
detective uncovered phone records found,3,Digital Evidence
detective uncovered gunshot wound,2,Weaponry
investigators found hacked into the system,3,Digital Evidence
blood found,1,Biological Evidence
crime scene showed blood stains found on the kitchen floor,1,Biological Evidence
online transaction suspicious,3,Digital Evidence
crime scene showed secret compartment found with stolen documents,3,Digital Evidence
gunshot residue on the suspect hands,2,Weaponry
forensics confirmed chair knocked over,0,Trace Evidence
crime scene showed there is blood on the floor,1,Biological Evidence
they committed fraud,3,Digital Evidence
officers noticed blood was found at the scene,1,Biological Evidence
forensics confirmed torn piece of fabric on the fence,0,Trace Evidence
financial fraud linked to suspects account,3,Digital Evidence
unauthorized bank transfer at 3 AM,3,Digital Evidence
evidence suggests object out of place,0,Trace Evidence
crime scene showed chair knocked over,0,Trace Evidence
officers noticed blood spatter pattern on the wall,1,Biological Evidence
fraud detected,3,Digital Evidence
investigators found there is blood on the floor,1,Biological Evidence
crime scene showed chair knocked over,0,Trace Evidence
evidence suggests knife was found at the scene,2,Weaponry
gun found,2,Weaponry
officers noticed hair sample matches suspect dna profile,1,Biological Evidence
detective uncovered blood everywhere,1,Biological Evidence
detective uncovered unknown biological fluid on the bedsheets,1,Biological Evidence
lab results revealed victim was blackmailing the suspect via email,3,Digital Evidence
crime scene showed hacked into the system,3,Digital Evidence
investigators found murder weapon hidden under floorboards,2,Weaponry
officers noticed armed suspect,2,Weaponry
forensics confirmed cigarette butt near the entrance,0,Trace Evidence
forensics confirmed body found with stab wounds in the cellar,2,Weaponry
evidence suggests fraud was committed,3,Digital Evidence
evidence suggests suspect passport shows false identity,3,Digital Evidence
evidence suggests phone records found,3,Digital Evidence
detective uncovered victim was poisoned,1,Biological Evidence
crime scene showed overturned chair in the kitchen,0,Trace Evidence
crime scene showed financial fraud linked to suspects account,3,Digital Evidence
detective uncovered they committed fraud,3,Digital Evidence
victim poisoned,1,Biological Evidence
detective uncovered digital evidence recovered,3,Digital Evidence
officers noticed suspect carrying a weapon,2,Weaponry
he stole money,3,Digital Evidence
poison detected in the wine glass,1,Biological Evidence
evidence suggests large amounts of stolen money,3,Digital Evidence
crime scene showed illegal firearm found in suspects car,2,Weaponry
chair knocked over,0,Trace Evidence
investigators found surveillance footage deleted remotely,3,Digital Evidence
blood at scene,1,Biological Evidence
officers noticed suspect had a gun,2,Weaponry
lab results revealed clues found near the entrance,0,Trace Evidence
officers noticed poison detected in the wine glass,1,Biological Evidence
crime scene showed blood everywhere,1,Biological Evidence
forensics confirmed strangled victim found in the library,2,Weaponry
detective uncovered pistol found at scene,2,Weaponry
evidence suggests spent shell casings found at the scene,2,Weaponry
investigators found rifle discovered,2,Weaponry
fraud detected,3,Digital Evidence
lab results revealed camera footage exists,3,Digital Evidence
lab results revealed footprints at the scene,0,Trace Evidence
murder weapon hidden under floorboards,2,Weaponry
investigators found unlocked back door,0,Trace Evidence
investigators found he has a knife,2,Weaponry
dna match confirmed,1,Biological Evidence
money was stolen,3,Digital Evidence
crime scene showed cyanide vial discovered in the bin,1,Biological Evidence
officers noticed chemical substance found,1,Biological Evidence
crime scene showed he was holding a weapon,2,Weaponry
detective uncovered victim was poisoned,1,Biological Evidence
evidence suggests poison detected in the wine glass,1,Biological Evidence
lab results revealed poison was used,1,Biological Evidence
investigators found wet umbrella near the coat rack,0,Trace Evidence
evidence suggests online transaction suspicious,3,Digital Evidence
forensics confirmed victim life insurance recently increased,3,Digital Evidence
crime scene showed object out of place,0,Trace Evidence
forensics confirmed suspects dna found under victims fingernails,1,Biological Evidence
investigators found bomb was planted,2,Weaponry
traces of poison,1,Biological Evidence
evidence suggests overturned chair in the kitchen,0,Trace Evidence
crime scene showed open window in the hallway,0,Trace Evidence
digital evidence recovered,3,Digital Evidence
spent shell casings found at the scene,2,Weaponry
crime scene showed assault with a deadly weapon,2,Weaponry
lab results revealed deleted text messages recovered from victims phone,3,Digital Evidence
crime scene showed he has a knife,2,Weaponry
muddy footprints near the window,0,Trace Evidence
victim was shot,2,Weaponry
officers noticed dna match confirmed,1,Biological Evidence
investigators found victim was shot,2,Weaponry
detective uncovered blood stains found on the kitchen floor,1,Biological Evidence
weapon at scene,2,Weaponry
officers noticed evidence of a forced entry,0,Trace Evidence
detective uncovered missing pen from the desk,0,Trace Evidence
crime scene showed armed robbery occurred,2,Weaponry
investigators found evidence of money fraud on the computer,3,Digital Evidence
investigators found shotgun at the scene,2,Weaponry
forensics confirmed wet umbrella near the coat rack,0,Trace Evidence
crime scene showed strangled victim found in the library,2,Weaponry
financial crime,3,Digital Evidence
evidence suggests unknown biological fluid on the bedsheets,1,Biological Evidence
officers noticed victim life insurance recently increased,3,Digital Evidence
deleted text messages recovered from victims phone,3,Digital Evidence
lab results revealed marks on the floor,0,Trace Evidence
officers noticed financial fraud linked to suspects account,3,Digital Evidence
investigators found weapon found nearby,2,Weaponry
detective uncovered shotgun at the scene,2,Weaponry
officers noticed signs of a struggle,0,Trace Evidence
officers noticed financial fraud linked to suspects account,3,Digital Evidence
investigators found financial records tampered,3,Digital Evidence
he stole money,3,Digital Evidence
detective uncovered he shot the victim,2,Weaponry
money fraud,3,Digital Evidence
officers noticed victim shows signs of blunt force trauma,2,Weaponry
evidence suggests he has a knife,2,Weaponry
suspect lied about alibi on camera,3,Digital Evidence
lab results revealed debris in the hallway,0,Trace Evidence
crime scene showed unauthorized bank transfer at 3 AM,3,Digital Evidence
officers noticed murder weapon hidden under floorboards,2,Weaponry
detective uncovered forged signature on the victims will,3,Digital Evidence
investigators found knife was found at the scene,2,Weaponry
investigators found victim was poisoned,1,Biological Evidence
forced entry,0,Trace Evidence
crime scene showed saliva found on the discarded cigarette,1,Biological Evidence
victim was poisoned,1,Biological Evidence
evidence suggests murder weapon hidden under floorboards,2,Weaponry
crime scene showed debris in the hallway,0,Trace Evidence
detective uncovered strangled victim found in the library,2,Weaponry
victim had been drugged,1,Biological Evidence
victim poisoned,1,Biological Evidence
crime scene showed biological material recovered,1,Biological Evidence
crime scene showed wet umbrella near the coat rack,0,Trace Evidence
evidence suggests toxicology confirms deliberate poisoning,1,Biological Evidence
forensics confirmed evidence of a forced entry,0,Trace Evidence
forensics confirmed calendar page torn off,0,Trace Evidence
officers noticed victim was blackmailing the suspect via email,3,Digital Evidence
forced entry,0,Trace Evidence
lab results revealed emails were deleted,3,Digital Evidence
chemical evidence,1,Biological Evidence
bank fraud,3,Digital Evidence
suspect armed,2,Weaponry
lab results revealed explosive device found,2,Weaponry
officers noticed calendar page torn off,0,Trace Evidence
scratches on the door lock,0,Trace Evidence
investigators found evidence of a forced entry,0,Trace Evidence
lab results revealed saliva found on the discarded cigarette,1,Biological Evidence
detective uncovered pistol found at scene,2,Weaponry
officers noticed hacked into the system,3,Digital Evidence
evidence suggests evidence of a forced entry,0,Trace Evidence
unauthorized bank transfer at 3 AM,3,Digital Evidence
lab results revealed calendar page torn off,0,Trace Evidence
money fraud,3,Digital Evidence
forensics confirmed clues found near the entrance,0,Trace Evidence
officers noticed victim shows signs of blunt force trauma,2,Weaponry
detective uncovered blood everywhere,1,Biological Evidence
chemical evidence,1,Biological Evidence
detective uncovered he was holding a weapon,2,Weaponry
detective uncovered traces of chloroform on the rag,1,Biological Evidence
forensics confirmed illegal firearm found in suspects car,2,Weaponry
evidence suggests knife was found at the scene,2,Weaponry
lab results revealed footprints at the scene,0,Trace Evidence
lab results revealed spent shell casings found at the scene,2,Weaponry
forensics confirmed suspect had a gun,2,Weaponry
detective uncovered suspect passport shows false identity,3,Digital Evidence
lab results revealed hacked into the system,3,Digital Evidence
officers noticed there is blood on the floor,1,Biological Evidence
investigators found armed suspect,2,Weaponry
he has a knife,2,Weaponry
investigators found wet umbrella near the coat rack,0,Trace Evidence
evidence suggests he stole money,3,Digital Evidence
evidence suggests he attacked with a weapon,2,Weaponry
evidence suggests fraud was committed,3,Digital Evidence
detective uncovered hidden camera recorded the crime,3,Digital Evidence
detective uncovered hair sample matches suspect dna profile,1,Biological Evidence
he stole money,3,Digital Evidence
investigators found unknown biological fluid on the bedsheets,1,Biological Evidence
forensics confirmed blood was found at the scene,1,Biological Evidence
officers noticed chair knocked over,0,Trace Evidence
lab results revealed clues found near the entrance,0,Trace Evidence
officers noticed blood stains found on the kitchen floor,1,Biological Evidence
forensics confirmed gunshot residue on the suspect hands,2,Weaponry
officers noticed she had a knife,2,Weaponry
door was open,0,Trace Evidence
crime scene showed there is blood on the floor,1,Biological Evidence
suspects fingerprints on the murder weapon,2,Weaponry
officers noticed large amounts of stolen money,3,Digital Evidence
investigators found dna evidence found,1,Biological Evidence
crime scene showed victim was poisoned,1,Biological Evidence
forensics confirmed they committed fraud,3,Digital Evidence
crime scene showed stabbed with a knife,2,Weaponry
evidence suggests chair knocked over,0,Trace Evidence
detective uncovered unlocked back door,0,Trace Evidence
crime scene showed footprints at the scene,0,Trace Evidence
calendar page torn off,0,Trace Evidence
forensics confirmed pistol found at scene,2,Weaponry
window was broken,0,Trace Evidence
evidence suggests poison detected in the wine glass,1,Biological Evidence
evidence suggests bloody knife found in the dumpster,2,Weaponry
officers noticed he stole money,3,Digital Evidence
forensics confirmed victim poisoned with rare toxin,1,Biological Evidence
crime scene showed phone records found,3,Digital Evidence
detective uncovered unauthorized bank transfer at 3 AM,3,Digital Evidence
investigators found traces of chloroform on the rag,1,Biological Evidence
assault with a deadly weapon,2,Weaponry
crime scene showed online transaction suspicious,3,Digital Evidence
armed suspect,2,Weaponry
evidence suggests illegal firearm found in suspects car,2,Weaponry
lab results revealed evidence of a forced entry,0,Trace Evidence
dna match confirmed,1,Biological Evidence
investigators found object out of place,0,Trace Evidence
evidence suggests knife was found at the scene,2,Weaponry
evidence suggests she had a knife,2,Weaponry
investigators found toxin detected,1,Biological Evidence
biological material recovered,1,Biological Evidence
detective uncovered camera footage exists,3,Digital Evidence
evidence suggests he is armed with a gun,2,Weaponry
investigators found chemical substance found,1,Biological Evidence
officers noticed poison detected in the wine glass,1,Biological Evidence
forensics confirmed chemical substance found,1,Biological Evidence
evidence suggests trail of footsteps,0,Trace Evidence
credit card fraud,3,Digital Evidence
lab results revealed unlocked back door,0,Trace Evidence
detective uncovered victim life insurance recently increased,3,Digital Evidence
crime scene showed suspect had a gun,2,Weaponry
evidence suggests a loaded gun was found,2,Weaponry
forensics confirmed poison detected in the wine glass,1,Biological Evidence
evidence suggests marks on the floor,0,Trace Evidence
phone records found,3,Digital Evidence
crime scene showed victim life insurance recently increased,3,Digital Evidence
lab results revealed they found a gun,2,Weaponry
forensics confirmed gunshot wound,2,Weaponry
firearm recovered,2,Weaponry
evidence suggests chair knocked over,0,Trace Evidence
investigators found blood spatter pattern on the wall,1,Biological Evidence
crime scene showed torn piece of fabric on the fence,0,Trace Evidence
detective uncovered unlocked back door,0,Trace Evidence
weapon at scene,2,Weaponry
forensics confirmed trail of footsteps,0,Trace Evidence
crime scene showed a loaded gun was found,2,Weaponry
investigators found suspect lied about alibi on camera,3,Digital Evidence
she had a knife,2,Weaponry
investigators found dna evidence found,1,Biological Evidence
forensics confirmed he stole money,3,Digital Evidence
crime scene showed broken coffee mug on the floor,0,Trace Evidence
lab results revealed victim was poisoned,1,Biological Evidence
bloody knife found in the dumpster,2,Weaponry
missing pen from the desk,0,Trace Evidence
lab results revealed toxin detected,1,Biological Evidence
poison was used,1,Biological Evidence
forensics confirmed firearm recovered,2,Weaponry
investigators found rifle discovered,2,Weaponry
detective uncovered blood on the wall,1,Biological Evidence
blood at scene,1,Biological Evidence
evidence suggests fraud was committed,3,Digital Evidence
forensics confirmed blood was found at the scene,1,Biological Evidence
chemical evidence,1,Biological Evidence
crime scene showed blood stains found on the kitchen floor,1,Biological Evidence
lab results revealed arsenic found in the victims tea,1,Biological Evidence
officers noticed blood everywhere,1,Biological Evidence
crime scene showed chemical substance found,1,Biological Evidence
investigators found victim shows signs of blunt force trauma,2,Weaponry
forensics confirmed body found with stab wounds in the cellar,2,Weaponry
detective uncovered traces of poison,1,Biological Evidence
investigators found hair sample matches suspect dna profile,1,Biological Evidence
crime scene showed victim was blackmailing the suspect via email,3,Digital Evidence
officers noticed explosive device found,2,Weaponry
crime scene showed gunshot residue on the suspect hands,2,Weaponry
investigators found bloody knife found in the dumpster,2,Weaponry
he was holding a weapon,2,Weaponry
lab results revealed traces of poison,1,Biological Evidence
detective uncovered embezzled funds and money fraud,3,Digital Evidence
victim poisoned,1,Biological Evidence
blood at scene,1,Biological Evidence
investigators found blood stains found on the kitchen floor,1,Biological Evidence
financial crime,3,Digital Evidence
officers noticed surveillance footage deleted remotely,3,Digital Evidence
detective uncovered rifle discovered,2,Weaponry
crime scene showed large amounts of stolen money,3,Digital Evidence
officers noticed open window in the hallway,0,Trace Evidence
crime scene showed he attacked with a weapon,2,Weaponry
weapon at scene,2,Weaponry
officers noticed dna sample collected,1,Biological Evidence
lab results revealed she had a knife,2,Weaponry
lab results revealed muddy footprints near the window,0,Trace Evidence
gunshot residue on the suspect hands,2,Weaponry
cyanide vial discovered in the bin,1,Biological Evidence
evidence suggests traces of poison,1,Biological Evidence
investigators found evidence of money fraud on the computer,3,Digital Evidence
credit card fraud,3,Digital Evidence
blood was found at the scene,1,Biological Evidence
forensics confirmed murder weapon hidden under floorboards,2,Weaponry
investigators found poison was used,1,Biological Evidence
detective uncovered unlocked back door,0,Trace Evidence
detective uncovered they committed fraud,3,Digital Evidence
forensics confirmed hair sample matches suspect dna profile,1,Biological Evidence
forensics confirmed signs of a struggle,0,Trace Evidence
detective uncovered cigarette butt near the entrance,0,Trace Evidence
crime scene showed victim life insurance recently increased,3,Digital Evidence
object out of place,0,Trace Evidence
evidence suggests blood was found at the scene,1,Biological Evidence
he stole money,3,Digital Evidence
evidence suggests spent shell casings found at the scene,2,Weaponry
investigators found data was stolen,3,Digital Evidence
detective uncovered emails were deleted,3,Digital Evidence
forensics confirmed victim shows signs of blunt force trauma,2,Weaponry
officers noticed online transaction suspicious,3,Digital Evidence
money fraud,3,Digital Evidence
evidence suggests footprints at the scene,0,Trace Evidence
lab results revealed unlocked back door,0,Trace Evidence
fraud detected,3,Digital Evidence
lab results revealed suspect carrying a weapon,2,Weaponry
forensics confirmed missing pen from the desk,0,Trace Evidence
lab results revealed heavy blunt object with blood found,2,Weaponry
officers noticed blood stains found on the kitchen floor,1,Biological Evidence
firearm recovered,2,Weaponry
crime scene showed knife was found at the scene,2,Weaponry
evidence suggests unlocked back door,0,Trace Evidence
officers noticed bomb was planted,2,Weaponry
detective uncovered data was stolen,3,Digital Evidence
door was open,0,Trace Evidence
clues found near the entrance,0,Trace Evidence
investigators found secret compartment found with stolen documents,3,Digital Evidence
knife at scene,2,Weaponry
evidence suggests chair knocked over,0,Trace Evidence
unlocked back door,0,Trace Evidence
crime scene showed body found with stab wounds in the cellar,2,Weaponry
officers noticed overturned chair in the kitchen,0,Trace Evidence
evidence suggests traces of poison,1,Biological Evidence
crime scene showed explosive device found,2,Weaponry
poison used,1,Biological Evidence
fraud detected,3,Digital Evidence
lab results revealed signs of a struggle,0,Trace Evidence
officers noticed suspect carrying a weapon,2,Weaponry
investigators found explosive residue on suspects jacket,2,Weaponry
officers noticed explosive device found,2,Weaponry
crime scene showed victim life insurance recently increased,3,Digital Evidence
window broken,0,Trace Evidence
investigators found she pulled out a gun,2,Weaponry
embezzled funds and money fraud,3,Digital Evidence
toxin detected,1,Biological Evidence
detective uncovered a loaded gun was found,2,Weaponry
officers noticed arsenic found in the victims tea,1,Biological Evidence
credit card fraud,3,Digital Evidence
victim poisoned,1,Biological Evidence
forensics confirmed unlocked back door,0,Trace Evidence
lab results revealed dust disturbed on the shelf,0,Trace Evidence
lab results revealed money was stolen,3,Digital Evidence
officers noticed spent shell casings found at the scene,2,Weaponry
evidence suggests massive credit card fraud detected,3,Digital Evidence
officers noticed encrypted messages found on suspects phone,3,Digital Evidence
crime scene showed he is armed with a gun,2,Weaponry
crime scene showed window was broken,0,Trace Evidence
officers noticed footprints at the scene,0,Trace Evidence
detective uncovered misplaced keys on the kitchen counter,0,Trace Evidence
detective uncovered broken coffee mug on the floor,0,Trace Evidence
evidence suggests hair sample matches suspect dna profile,1,Biological Evidence
weapon at scene,2,Weaponry
officers noticed illegal firearm found in suspects car,2,Weaponry
he was holding a weapon,2,Weaponry
officers noticed cyanide vial discovered in the bin,1,Biological Evidence
lab results revealed dna evidence found,1,Biological Evidence
investigators found suspects fingerprints on the murder weapon,2,Weaponry
officers noticed window was broken,0,Trace Evidence
detective uncovered arsenic found in the victims tea,1,Biological Evidence
scratches on the door lock,0,Trace Evidence
victim was poisoned,1,Biological Evidence
victim poisoned,1,Biological Evidence
lab results revealed stabbed with a knife,2,Weaponry
blood at scene,1,Biological Evidence
investigators found unlocked back door,0,Trace Evidence
crime scene showed rifle discovered,2,Weaponry
investigators found shotgun at the scene,2,Weaponry
crime scene showed traces of poison,1,Biological Evidence
camera footage exists,3,Digital Evidence
victim was poisoned,1,Biological Evidence
detective uncovered unauthorized bank transfer at 3 AM,3,Digital Evidence
money fraud,3,Digital Evidence
lab results revealed bloody knife found in the dumpster,2,Weaponry
lab results revealed unknown biological fluid on the bedsheets,1,Biological Evidence
investigators found they committed fraud,3,Digital Evidence
evidence suggests financial records tampered,3,Digital Evidence
evidence suggests victim strangled with a rope,2,Weaponry
stabbed with a knife,2,Weaponry
blood on floor,1,Biological Evidence
forensics confirmed he has a knife,2,Weaponry
evidence suggests trail of footsteps,0,Trace Evidence
something is missing,0,Trace Evidence
detective uncovered digital evidence recovered,3,Digital Evidence
he stole money,3,Digital Evidence
officers noticed hidden camera recorded the crime,3,Digital Evidence
officers noticed blood everywhere,1,Biological Evidence
detective uncovered body found with stab wounds in the cellar,2,Weaponry
forensics confirmed chair knocked over,0,Trace Evidence
detective uncovered suspects dna found under victims fingernails,1,Biological Evidence
evidence suggests money was stolen,3,Digital Evidence
lab results revealed fraud was committed,3,Digital Evidence
crime scene showed secret compartment found with stolen documents,3,Digital Evidence
lab results revealed body found with stab wounds in the cellar,2,Weaponry
detective uncovered large amounts of stolen money,3,Digital Evidence
investigators found signs of a struggle,0,Trace Evidence
detective uncovered fraud was committed,3,Digital Evidence
investigators found financial fraud linked to suspects account,3,Digital Evidence
lab results revealed dna sample collected,1,Biological Evidence
evidence suggests misplaced keys on the kitchen counter,0,Trace Evidence
lab results revealed door was left open,0,Trace Evidence
crime scene showed fraud was committed,3,Digital Evidence
forensics confirmed muddy footprints near the window,0,Trace Evidence
officers noticed dna evidence found,1,Biological Evidence
dna found,1,Biological Evidence
lab results revealed object out of place,0,Trace Evidence
forensics confirmed online transaction suspicious,3,Digital Evidence
window broken,0,Trace Evidence
crime scene showed trail of footsteps,0,Trace Evidence
officers noticed unlocked back door,0,Trace Evidence
investigators found victim was shot,2,Weaponry
detective uncovered scratches on the door lock,0,Trace Evidence
detective uncovered blood everywhere,1,Biological Evidence
victim shows signs of blunt force trauma,2,Weaponry
officers noticed dna evidence found,1,Biological Evidence
suspect carrying a weapon,2,Weaponry
lab results revealed emails were deleted,3,Digital Evidence
he was armed,2,Weaponry
window broken,0,Trace Evidence
forensics confirmed victim poisoned with rare toxin,1,Biological Evidence
chair knocked over,0,Trace Evidence
crime scene showed encrypted messages found on suspects phone,3,Digital Evidence
evidence suggests he was holding a weapon,2,Weaponry
forensics confirmed gun was discovered,2,Weaponry
lab results revealed victim was blackmailing the suspect via email,3,Digital Evidence
officers noticed suspects dna found under victims fingernails,1,Biological Evidence
investigators found blood everywhere,1,Biological Evidence
crime scene showed armed suspect,2,Weaponry
forensics confirmed armed robbery occurred,2,Weaponry
phone records found,3,Digital Evidence
bank account was hacked,3,Digital Evidence
weapon at scene,2,Weaponry
evidence suggests suspects dna found under victims fingernails,1,Biological Evidence
crime scene showed dna evidence found,1,Biological Evidence
detective uncovered hair sample matches suspect dna profile,1,Biological Evidence
forced entry,0,Trace Evidence
evidence suggests missing pen from the desk,0,Trace Evidence
evidence suggests she had a knife,2,Weaponry
detective uncovered embezzled funds and money fraud,3,Digital Evidence
detective uncovered deleted text messages recovered from victims phone,3,Digital Evidence
officers noticed financial records tampered,3,Digital Evidence
lab results revealed poison detected in the wine glass,1,Biological Evidence
evidence suggests digital evidence recovered,3,Digital Evidence
officers noticed signs of a struggle,0,Trace Evidence
lab results revealed data was stolen,3,Digital Evidence
blood found,1,Biological Evidence
blood found,1,Biological Evidence
forensics confirmed camera footage exists,3,Digital Evidence
gun found,2,Weaponry
evidence suggests he was holding a weapon,2,Weaponry
forced entry,0,Trace Evidence
door was open,0,Trace Evidence
crime scene showed scratches on the door lock,0,Trace Evidence
investigators found she had a knife,2,Weaponry
investigators found bank account was hacked,3,Digital Evidence
evidence suggests murder weapon hidden under floorboards,2,Weaponry
crime scene showed biological material recovered,1,Biological Evidence
lab results revealed misplaced keys on the kitchen counter,0,Trace Evidence
evidence suggests data was stolen,3,Digital Evidence
crime scene showed victim was blackmailing the suspect via email,3,Digital Evidence
investigators found weapon found nearby,2,Weaponry
detective uncovered murder weapon hidden under floorboards,2,Weaponry
door was open,0,Trace Evidence
forced entry,0,Trace Evidence
signs of a struggle,0,Trace Evidence
evidence suggests embezzled funds and money fraud,3,Digital Evidence
window broken,0,Trace Evidence
footprints found,0,Trace Evidence
chemical evidence,1,Biological Evidence
forensics confirmed arsenic found in the victims tea,1,Biological Evidence
lab results revealed hidden camera recorded the crime,3,Digital Evidence
detective uncovered misplaced keys on the kitchen counter,0,Trace Evidence
investigators found something is missing,0,Trace Evidence
crime scene showed evidence of money fraud on the computer,3,Digital Evidence
financial records tampered,3,Digital Evidence
forensics confirmed blood everywhere,1,Biological Evidence
investigators found traces of poison,1,Biological Evidence
investigators found explosive residue on suspects jacket,2,Weaponry
detective uncovered murder weapon hidden under floorboards,2,Weaponry
investigators found suspect passport shows false identity,3,Digital Evidence
crime scene showed cigarette butt near the entrance,0,Trace Evidence
suspects dna found under victims fingernails,1,Biological Evidence
crime scene showed blood spatter pattern on the wall,1,Biological Evidence
evidence suggests blood everywhere,1,Biological Evidence
lab results revealed victim was poisoned,1,Biological Evidence
weapon found nearby,2,Weaponry
investigators found arsenic found in the victims tea,1,Biological Evidence
money fraud,3,Digital Evidence
officers noticed victim was poisoned,1,Biological Evidence
investigators found evidence of a forced entry,0,Trace Evidence
investigators found he attacked with a weapon,2,Weaponry
unknown biological fluid on the bedsheets,1,Biological Evidence
lab results revealed arsenic found in the victims tea,1,Biological Evidence
evidence suggests massive credit card fraud detected,3,Digital Evidence
forensics confirmed she pulled out a gun,2,Weaponry
lab results revealed he stole money,3,Digital Evidence
gunshot wound,2,Weaponry
lab results revealed financial records tampered,3,Digital Evidence
forced entry,0,Trace Evidence
forensics confirmed faint smell of perfume in the hallway,0,Trace Evidence
detective uncovered open window in the hallway,0,Trace Evidence
forensics confirmed misplaced keys on the kitchen counter,0,Trace Evidence
lab results revealed misplaced keys on the kitchen counter,0,Trace Evidence
officers noticed traces of chloroform on the rag,1,Biological Evidence
lab results revealed they found a gun,2,Weaponry
blood found,1,Biological Evidence
evidence suggests bloody knife found in the dumpster,2,Weaponry
lab results revealed she had a knife,2,Weaponry
officers noticed surveillance footage deleted remotely,3,Digital Evidence
suspect armed,2,Weaponry
murder weapon hidden under floorboards,2,Weaponry
door was open,0,Trace Evidence
detective uncovered phone records found,3,Digital Evidence
window broken,0,Trace Evidence
fraud detected,3,Digital Evidence
investigators found she pulled out a gun,2,Weaponry
armed robbery occurred,2,Weaponry
detective uncovered financial fraud linked to suspects account,3,Digital Evidence
investigators found bank account was hacked,3,Digital Evidence
data was stolen,3,Digital Evidence
evidence suggests rifle discovered,2,Weaponry
evidence suggests blood was found at the scene,1,Biological Evidence
detective uncovered chair knocked over,0,Trace Evidence
detective uncovered fraud was committed,3,Digital Evidence
evidence suggests calendar page torn off,0,Trace Evidence
lab results revealed shotgun at the scene,2,Weaponry
blood stains found on the kitchen floor,1,Biological Evidence
detective uncovered muddy footprints near the window,0,Trace Evidence
forensics confirmed financial fraud linked to suspects account,3,Digital Evidence
officers noticed money was stolen,3,Digital Evidence
forensics confirmed explosive residue on suspects jacket,2,Weaponry
evidence suggests financial fraud linked to suspects account,3,Digital Evidence
lab results revealed marks on the floor,0,Trace Evidence
crime scene showed large amounts of stolen money,3,Digital Evidence
suspect carrying a weapon,2,Weaponry
evidence suggests displaced rug near the fireplace,0,Trace Evidence
money fraud,3,Digital Evidence
forensics confirmed evidence of money fraud on the computer,3,Digital Evidence
officers noticed he is armed with a gun,2,Weaponry
dna found,1,Biological Evidence
money was stolen,3,Digital Evidence
gun found,2,Weaponry
lab results revealed blood everywhere,1,Biological Evidence
forged signature on the victims will,3,Digital Evidence
investigators found scratches on the door lock,0,Trace Evidence
he stole money,3,Digital Evidence
evidence suggests victim had been drugged,1,Biological Evidence
forensics confirmed poison was used,1,Biological Evidence
emails were deleted,3,Digital Evidence
lab results revealed secret compartment found with stolen documents,3,Digital Evidence
gun found,2,Weaponry
evidence suggests toxicology confirms deliberate poisoning,1,Biological Evidence
she had a knife,2,Weaponry
evidence suggests debris in the hallway,0,Trace Evidence
forced entry,0,Trace Evidence
firearm recovered,2,Weaponry
detective uncovered large amounts of stolen money,3,Digital Evidence
crime scene showed footprints at the scene,0,Trace Evidence
evidence of a forced entry,0,Trace Evidence
evidence suggests suspects fingerprints on the murder weapon,2,Weaponry
signs of struggle,0,Trace Evidence
detective uncovered chemical substance found,1,Biological Evidence
investigators found poison was used,1,Biological Evidence
forensics confirmed suspect passport shows false identity,3,Digital Evidence
crime scene showed door was left open,0,Trace Evidence
suspect passport shows false identity,3,Digital Evidence
blood at scene,1,Biological Evidence
detective uncovered blood stains found on the kitchen floor,1,Biological Evidence
lab results revealed toxin detected,1,Biological Evidence
forced entry,0,Trace Evidence
lab results revealed scratches on the door lock,0,Trace Evidence
window broken,0,Trace Evidence
investigators found debris in the hallway,0,Trace Evidence
evidence suggests stabbed with a knife,2,Weaponry
investigators found suspect passport shows false identity,3,Digital Evidence
lab results revealed armed suspect,2,Weaponry
forensics confirmed he attacked with a weapon,2,Weaponry
blood on floor,1,Biological Evidence
lab results revealed unknown biological fluid on the bedsheets,1,Biological Evidence
money was stolen,3,Digital Evidence
forensics confirmed suspect passport shows false identity,3,Digital Evidence
officers noticed murder weapon hidden under floorboards,2,Weaponry
object out of place,0,Trace Evidence
forensics confirmed traces of poison,1,Biological Evidence
detective uncovered something is missing,0,Trace Evidence
lab results revealed wet umbrella near the coat rack,0,Trace Evidence
officers noticed stabbed with a knife,2,Weaponry
forensics confirmed toxin detected,1,Biological Evidence
lab results revealed marks on the floor,0,Trace Evidence
crime scene showed suspect carrying a weapon,2,Weaponry
investigators found murder weapon hidden under floorboards,2,Weaponry
crime scene showed secret compartment found with stolen documents,3,Digital Evidence
signs of a struggle,0,Trace Evidence
